,talk_id,title,abstract,type,session
11,11,Habitat Selection of Scaled Quail Across a Gradient of Oil and Gas Development in,"The Permian Basin region of Texas supports a large portion of the oil and gas industry in the United States and is expected to expand in the future. The Permian Basin region is also home to a variety of wildlife, including the scaled quail (Callipepla squamata), whose distribution encompasses the entire basin. West Texas scaled quail populations have been in decline since the early 1960’s due to a combination of factors, including land use change, woody brush encroachment, overgrazing, and frequent drought conditions. Our goal was to determine if oil and gas development affects habitat selection and movement behavior of scaled quail in this region. We deployed global positioning system (GPS) transmitters recording GPS points every four hours on scaled quail across two ranches managed by ConocoPhillips in Upton County, Texas during the 2021 breeding season and 2021-2022 covey season. Scaled quail were captured on the Quail Ranch LLC, which acted as our control site and the Cross-L Ranch LLC, which acted as our developed site. An integrated step selection function was used to analyze our scaled quail location data. Environmental covariates included in our model were distance to well pads, distance to roads, distance to quail feeders, Landsat Modified Soil Adjusted Vegetation Index (MSAVI), slope, and aspect. By providing information on where scaled quail habitat selection and movement ecology on an oil and gas developed landscape, oil companies can implement strategies that mitigate the impacts of development on scaled quail populations.",oral,NA
12,12,The Cost of Fragmentation: An Assessment of Habitat Connectivity for Northern,"Habitat loss and fragmentation are considered primary causes of species endangerment world-wide. For northern bobwhite (Colinus virginianus), habitat loss and fragmentation are considered ultimate factors influencing the species’ decline. Although bobwhite habitat needs are well known, life history knowledge is more relevant for management at a local scale but less so for addressing ultimate factors of the species’ decline, given that habitat loss and fragmentation operate at broad spatial scales. Effectively addressing the bobwhite decline therefore requires knowledge of bobwhite habitat amount and connectivity at large scales. In Texas, population abundance of bobwhites differs between northern and southern Texas, and it is hypothesized that differences in habitat connectivity between regions may be a reason. The objective of our study was to evaluate this hypothesis and quantify and compare bobwhite habitat amount, configuration, and connectivity between northern and southern Texas. We used 2019 National Land Cover Data (NLCD) imagery to develop a map of bobwhite habitat. Additionally, the NLCD imagery was used to create a cost raster for calculating the least-cost path of bobwhite movement. We used Program Conefor to estimate habitat connectivity with the least-cost paths using the equivalent connected area (EC). Here we report on metrics of bobwhite habitat configuration (e.g., percent of habitat, largest patch index, and mean patch area) and connectivity (EC) between southern and northern Texas in the context of contrasting bobwhite population trajectories. The findings from this study will provide a better understanding of the degree of fragmentation in bobwhite habitat in Conservation & Ecology of Mammals 1",oral,NA
13,13,Influence of Traffic on use of Wildlife Crossing Structures by Bobcats and Coyotes in,"Wildlife crossing structures (WCS) provide wildlife safe passage, habitat connectivity, and positively impact movement, and their effectiveness can be impacted by placement, structure, and landscape attributes. Roads have a road-effect zone that influences wildlife behavior and survival, which can be expanded by increased traffic levels. Wildlife crossing structures can be negatively impacted by the road-effect zone, proximity of infrastructure and human presence. In Cameron County, the Texas Department of Transportation constructed nine wildlife crossing structures with non-continuous exclusion fencing on Farm-to-Market (FM) 106 and five WCS and 18 wildlife guards with continuous exclusion fencing on State Highway (SH) 100, to mitigate endangered ocelot (Leopardus pardalis) road mortalities. Our objectives were to: 1) determine if traffic noise influences use of WCS by target species; and 2) determine if traffic noise influences vigilant behaviors of bobcats (Lynx rufus) and coyotes (Canis latrans) at the WCS. WCS were monitored with camera trap arrays that consisted of four cameras on each side, with one camera taking videos. Noise levels were monitored with NSRT_mk3 sound level meters at each WCS. Generalized linear models were used to examine if there were associations between WCS use with traffic levels and noise levels, and to compare the percentage of time of behaviors with noise levels and vehicle presence. This study will contribute to the understanding of how traffic and noise influence the use of wildlife crossing structures by target species and behavior of wildlife in response to traffic noise.",oral,NA
14,14,Strategic grassland conservation for swift foxes in multi-use landscapes,"Grasslands are among the most widely distributed, but most imperiled, biomes on Earth. North American grasslands once covered ~162 million ha prior to European colonization, but only ~30% of this landcover currently remains due to continued human-modified landscape changes. Strategic conservation of remaining grassland landcover, which considers speciesspecific habitat requirements, is critical for the persistence of grassland species and has become a global priority. Intact grassland landcover is critical for swift fox (Vulpes velox), a facultative prairie carnivore, and we sought to strategically identify areas where grassland conservation would most impact population persistence in an agro-prairie ecosystem. We modeled site (n = 381) occupancy by swift foxes using three years of camera-trap data (2018 – 2020) from western Kansas, USA, and integrated known-fate survival information to identify priority native grassland conservation areas. Additionally, we evaluated ownership of our identified priority conservation lands to determine strategies for conservation delivery. Our grassland assessment of two thresholds of predicted swift fox occupancy (≥ 0.09 [priority] and ≥ 0.18 [high priority]) identified 2,377,193 ha and 84,420 ha for conservation in Kansas, respectively. Identified conservation areas were overwhelmingly located on privately owned working lands (98% [priority and high priority]), rather than federal or state-owned lands (2% [priority and high priority]), and highlight the need for using conservation easements and incentive-based programs to promote grassland conservation to private landowners.",oral,NA
15,15,Quantifying Degradation Rates of Environmental DNA (eDNA) of Ringtails,"Organisms release environmental DNA (eDNA) into the environment through shed skin and hair, bodily fluids, and feces. Prior studies conducting eDNA analysis from water samples have successfully detected aquatic, semi-aquatic, and mammalian DNA. However, many of these species directly use water and less is known about success rates of mammals not closely tied to water. Ringtails (Bassariscus astutus) are terrestrial carnivores that may have infrequent contact with water bodies because of low dietary need for free water. Our review of the literature revealed that little is known about the rate eDNA degrades in standing water. Thus, standing water may contain small quantities of ringtail DNA. Our objectives were to 1) evaluate the efficacy of using eDNA from water samples to detect the presence of ringtails in the watershed and 2) determine the decay rate of DNA from ringtail feces in naturally occurring water at different temperatures. We collected 72 water samples from 13 sites across the Roger R. Fawcett Wildlife Management Area (2,209 ha), Palo Pinto County, Texas in areas where ringtails were known to occur. However, we were not successful in detecting ringtail DNA from water samples. Our results suggest ringtail DNA from fecal samples can persist in a lake, pond, and creek water for ≥3 weeks at 10°C, 20°C, and 30°C. Our findings will improve sampling methodology for assessing biodiversity using eDNA and inform researchers of temporal constraints when sampling.",oral,NA
16,16,Coyote Population Estimation in the Mojave Desert Region Using Noninvasive,"Since the mid-1900s, coyotes (Canis latrans) have expanded their geographic range throughout North America, due in part to anthropogenic influences. The Marine Corps Air Ground Combat Center (MCAGCC) in Twentynine Palms, California has substantial residential zones, and densely populated barracks, where human-coyote conflicts regularly occur. MCAGCC is also intensely involved with the management and recovery of the threatened Agassiz’s desert tortoise (Gopherus agassizii). Tortoise depredation by canids, most likely coyotes, continues to present wildlife-wildlife conflicts in other desert regions and has potential risks in the Mojave Desert as well. Similarly, no reliable coyote population estimates exist for MCAGCC, but these estimates are crucial for developing management actions for tortoises and coyotes. In 2021, we collected > 2500 canid scat samples at MCAGCC for use in noninvasive genetic sampling to develop spatially explicit mark-recapture population models using mitochondrial cytochrome-b gene amplification and microsatellite locus analysis. Species identification has been confirmed on approximately 150 samples, with a 96% accuracy rate on field identification. Individuals were identified using coyote specific primers and evaluating microsatellite genotypes. This research will inform us of coyote population size and connectivity, as well as their impacts upon tortoises – both of which will be useful for human and coyote management at and outside of MCAGCC.",oral,NA
17,17,A Novel Approach to Assessing Texas Kangaroo Rat Habitat Use,"Very high frequency (VHF) radio tags have been used for decades to assess movement and habitat use questions. VHF tags are typically light and come with a longer battery life compared to similarly sized contemporary technology, but still they possess similar drawbacks. Additionally, they come with the added requirement that in order to collect data a researcher must be out there conducting telemetry to obtain location data. Alternatively, for a prohibitive cost you can deploy an automated radio telemetry system to collect location data continuously. In addition to VHF, Global positioning system technology has been utilized extensively for tracking and movement studies quantifying habitat use. However, the technological limitation for tag size and weight are amplified for this newer technology. Some of these constraints have been mitigated through the advent of solar rechargeable batteries allowing for smaller and lighter tags. However, these limitations are exacerbated for a burrowing nocturnal small mammal like the Texas kangaroo rat (Dipodomys elator). To address these limitations, we have developed a passive integrated transponder (PIT) antenna array system. This system will allow us to track the movements of Texas kangaroo rats within a one-hectare area with a 25-meter resolution continuously, without the need for active data collection by a researcher. This PIT antenna array system will be used to monitor Texas kangaroo rats over three separate one-hectare research plots to assess the impact of experimental vegetation manipulation conducted in an effort to create suitable habitat for this rare state threatened species.",oral,NA
18,18,Behavior of wild pigs towards conspecific carcasses: Implications for disease,"Wild pigs (Sus scrofa) are an invasive species in the USA, and act as vectors for many pathogens. An emergent pathogen of concern is African swine fever (ASF), a deadly disease affecting swine that is endemic to Africa and has spread to other parts of the globe. ASF affects wild and domesticated pigs, and can be transmitted via several avenues, including interactions between and consumption of dead pigs by live conspecifics. As wild pigs are considered a threat in the transmission of ASF, understanding the behavior of wild pigs towards their dead conspecifics is imperative when considering the transmission of ASF and other diseases. We placed camera traps at wild pig carcasses dispatched during four aerial shooting events between November 2020 and June 2022 at East Foundation’s San Antonio Viejo Ranch, South Texas. We recorded visitations to carcasses by live wild pigs and recorded their behavior, and assessed daily carcass decomposition rates by visiting carcass sites without cameras. We found no evidence of cannibalism and recorded live wild pig visitations to only 33% of carcasses before advanced stages of decomposition were reached. Carcass decomposition was rapid, regardless of season, and the time to first visitation and investigation of carcasses by live conspecifics was quicker than has been recorded in Europe. We posit that active scavenger guilds at our study site, coupled with high temperatures, result in the rapid decomposition of wild pig carcasses which reduces opportunities for live wild pigs to interact with them when compared to milder climates. Conservation & Ecology of Birds and Bats",oral,NA
19,19,Correlation Between Demographic Rates and the Influence of Catastrophic Weather,"Montezuma quail (Cyrtonyx montezumae) are a cryptic species inhabiting the montane deserts of the southwestern United States and much of Mexico. Little is known about Montezuma quail population demography and life history, but precipitation is likely a key factor driving Montezuma quail reproduction during summer monsoon season. In the Texas TransPecos, this species is potentially vulnerable to environmental catastrophes, such as the extreme winter events experienced in early 2021, but the implications of such events on their demography is not known. Winter events are known to contribute to over-winter mortality in other quail species, such as northern bobwhites (Colinus virginianus) but these concepts have yet been extended to evaluate Montezuma quail winter mortalities. Recent work suggests that such events may induce tail-specific correlation structures among demographic rates, though most models treat them as independent. Neglecting such correlations may lead to grossly erroneous predictions of population outcomes. We created a stochastic 3-stage Lefkovich matrix population model (MPM) to examine the effects of population parameter correlations on predicted dynamics, local abundances, and extinction probability of Montezuma quail populations. We found that stabilizing dynamics were possible when demographic rates were independent, but destabilizing dynamics when tail-specific correlations were considered. This suggests extreme weather events prevent stage related rescue effects and may destabilize Montezuma quail populations.",oral,NA
20,20,One Size Does Not Fit All: Species Composition of Wind Turbine Fatalities Varies by,"The U.S. Fish and Wildlife Service has designated the northern long-eared bat (Myotis septentrionalis) as endangered, has proposed designating the tricolored bat (Perimyotis subflavus) as endangered, and the little brown bat (Myotis lucifugus) is currently under review for listing. Although white-nose syndrome (WNS) is the main driver of population declines, collision mortality at wind energy facilities could also influence population viability of these species. Western EcoSystems Technology (WEST) maintains the Renew database, containing data from hundreds of monitoring studies that can provide insights into the impacts of wind energy on these sensitive bat species. Using this database, we estimated the relative species composition across pre- and post-WNS time periods and by region. We supplemented these results with a case study from MidAmerican Energy Company’s Iowa projects. For all three species, estimated species composition was lower post-WNS compared to pre- with the magnitude of change consistent with observed population declines. Furthermore, species composition varied among regions pre-WNS, with subsequent changes post-WNS being greatest in the Northeast for northern long-eared and tricolored bats and in the Midwest for the little brown bat. At MidAmerican’s Iowa facilities, no northern long-eared bat was discovered postWNS and fatalities of little brown and tri-colored bats have also declined. Population modeling efforts should incorporate these new estimates of species composition that vary across regions. By doing so, we will improve our understanding of wind energy impacts on the future viability of these declining species and can more appropriately target mitigation to have the greatest effect.",oral,NA
21,21,Sex Ratios of Mexican Free-tailed Bat Fatalities at Wind Energy Facilities for Local,"Wind-energy production has expanded due to interest in increasing energy production and decreasing reliance on fossil fuels. Unfortunately, collisions and fatalities are unintended consequences of wind-energy production for many bat species. The Mexican free-tailed bat (Tadarida brasiliensis) has a non-migratory population in California that has an assumed sex ratio of 50:50, as seen in other non-migratory bat species, and migratory sex-skewed (9:1 female:male) population in Texas that arrives in the summer to form maternal colonies. Knowing how males and females are impacted by collision mortality at wind turbines can provide insights into population-level effects. We determined the sex of bat carcasses discovered at wind turbines using DNA extracted from wing tissue samples collected during post-construction surveys in California (n = 502, 5 years) and Texas (n = 437, 3 years). Preliminary analysis of bats from California suggests that the sex ratio of fatalities did not differ significantly from 50:50 from 2016 to 2020 (p>0.05). In contrast in bats from Texas, the sex ratio of fatalities was significantly female-skewed in 2017 (6.8:3.2, z=3.25, p<0.001), became less female-skewed in 2018 (4.8:5.2) and 2021 (4.4:5.6), with neither 2018 nor 2021 being significantly different from 50:50 (p>0.05). This change in sex ratio in Texas might be demographically relevant if the loss of females from previous years is causing the migratory population to become less female-skewed over time. Studies of sex ratios at summer and winter colonies would allow determination of whether this same pattern is observed at the population level.",oral,NA
22,22,Influence of Drought Conditions on Black-Capped Vireo (Vireo atricapalla) Nesting,"The Black-capped Vireo (Vireo atricapilla) was delisted from the U.S. Endangered Species List by the United States Fish and Wildlife Service (USFWS) in 2018. As part of the USFWS Post-Delisting Monitoring Plan, nest searching and monitoring of vireo nests were completed in 2021 and 2022 to provide an estimate on parasitism and nest success in the region. Field work for this study took place in Kickapoo Caverns State Park in the Western Edwards Plateau. The two field seasons were characterized by mild drought conditions in 2021 and exceptional drought conditions in 2022. This led us to investigate the relationship between drought conditions and nesting activities of Black-capped Vireos. The logistic exposure method was used to quantify the relative success vireo nests had in each year. Nests found in 2021(n = 18) had a daily survival rate (DSR) of 0.96 and an overall chance of survival from nest building to fledging of 0.40. Nests found in 2022 (n = 15) had a DSR of 0.88 and an annual survival rate of 0.04. Additionally, we found in 2021 that vireos only nested in Ashe Juniper (Juniperus asheii) 16% (n = 3) of the time while in 2022 it was utilized in 46% (n = 7) of nests. This is of particular importance because juniper removal is one method used to help enhance potential Black-capped Vireo habitat. The results of this study will help inform management decisions for Black-capped Vireo populations as historic drought conditions likely become more common under changing global climates.",oral,NA
23,23,The Rise and Fall of the Inca Dove in Texas,"The Inca Dove (Columbina inca) has undergone a well-documented range expansion northward starting in the 1980’s and 1990’s. However, it’s status in recent years is not well understood. As part of a larger study in Lubbock, Texas, I became aware of how rare the species has become locally and set out to investigate whether the recent decline in Lubbock was a local phenomenon or reflected in declines in other parts of its range. Using Christmas Bird Count (CBC) and Breeding Bird Survey (BBS) data from 1970 to 2021, I found declines in abundances, not only on the fringes of the range, but also in some areas within the core of its traditional range. Additionally, it appears to have contracted its range somewhat since the northward expansion. Temperature and water availability have been proposed as checks on further northward range expansion, but minimum winter temperature and rainfall patterns do not appear to explain the declines seen in both CBC and BBS data. The causes of the patterns seen here are not clear, but may include competition from Eurasian Collared-Doves (Streptopelia decaocto), disease, water availability in urban areas, and social factors. Thus, while the Inca Dove expanded its range northward, it appears to be declining, both in abundance and range. Human Dimensions",oral,NA
24,24,The Impacts of Bird City Texas on the Nature Engagement and Nature Relatedness,"Birds and their habitats are declining. Concomitantly, human populations in urban areas are growing and becoming increasingly disconnected from nature. Bird City Texas (BCT), a community-based certification program co-created by Texas Parks and Wildlife Department and Audubon Texas, aims to promote both bird conservation and nature engagement in Texas. Whether BCT has achieved its goals of increasing public knowledge of bird conservation and environmental stewardship behavior has not been assessed. In addition, whether BCTcertification has influenced perceived availability of nature amenities, participation in naturebased recreation, and nature relatedness of residents of BCT cities is unknown. Our objectives were to examine whether residents of BCT-certified cities differ from residents of non-certified cities in their nature engagement (both nature-based recreation and environmental stewardship behavior), knowledge of birds and their conservation, perceived availability of nature amenities, and nature relatedness. We distributed surveys to residents of two BCT-certified cities and two cities not BCT-certified through door-to-door methods. Average scores of nature-based recreation activity and nature relatedness between BCT residents and non-BCT residents did not differ significantly (P > 0.05 for both constructs). However, average scores for perceived availability of nature amenities were significantly different between BCT and non-BCT residents (P < 0.05). Our study serves as a baseline evaluation of BCT and provides insight into the potential benefits of BCT-certification. Our results can be used to improve the program to enhance nature engagement and nature relatedness in urban areas.",oral,NA
25,25,Mapping the soundscape of an exurban nature preserve,"All landscapes can be characterized by acoustic activity – known as the soundscape. Nearly all modern soundscapes are comprised of both natural and anthropogenic sounds. High levels of anthropogenic noise have been associated with avoidance and reduced success for many wildlife species. While urban areas are often characterized by high levels of anthropogenic noise, sound levels in exurban areas may be more variable spatially and temporally. This is especially true in areas with strong elevation gradients, such as those found in the Hill Country region of Central Texas. Wild Basin Wilderness Preserve is a 257-acre exurban preserve near Austin, Texas. The rolling preserve landscapes are bordered by a high use roadway, low density housing, and an adjacent conservation property. To quantify the fine-scale variability in the soundscape, we collected sound data from passive acoustic recorders placed at 149 locations across the preserve from mid-2020 through 2022. In addition to daily and monthly variation, this timeframe included the return to normal activity period following Covid-19 shelter in place regulations. We have produced a series of temporally and spatially explicit maps that visualize the soundscape variability found at the Wild Basin Wilderness Preserve. Our results reveal the existence of quiet acoustic microhabitats nested within a noisier landscape, which may be critical for the protection of native wildlife species found on the preserve. Future work will compare soundscape data with spatial patterns of wildlife presence and use to assess the potential value of different acoustic niches.",oral,NA
