talk_id,title,abstract,type,session
11,Demographics of Northern Bobwhite Translocated to the Pineywoods Ecoregion of Texas,"Northern bobwhite (Colinus virginianus) have largely disappeared from the
Pineywoods of Texas. Restoration of populations has been successful in the southeastern
United States following translocation. We radiomarked and translocated 120 bobwhite from
Florida to a 3,622-ha area in Polk County, Texas. Sixty bobwhite were translocated in January
2023 and the remainder in March. We monitored bobwhite daily to estimate demographics of
the two cohorts. During 6 January to 17 October 2023, cumulative survival was 0.52 (95% CI =
0.39–0.65) and 0.28 (95% CI = 0.17–0.42) for January and March cohorts, respectively. We
entered breeding season (April 15) with 54 females (nJanF = 25, nMarF = 29) and 55 males
(nJanM = 27, nMarM = 28); the first nest was observed on 9 May and 6 May for January and
March cohorts, respectively. We found 74 nests; nest incubation rates were 1.06 nests/female
(NRJanF = 0.92, 95% CI = 0.61–1.38, NRMarF = 1.17, 95% CI = 0.84–1.64) and 0.31
nests/male (NRJanM = 0.37, 95% CI = 0.20–0.69, NRMarM = 0.25, 95% CI = 0.19–0.50).
Pooled across sexes, nest success was 49% (NSJan = 0.47, 95% CI = 0.31–0.64, NSMar =
0.52, 95% CI = 0.33–0.70). Productivity was 5.09 chicks/female (CRJanF = 5.19, 95% CI =
4.39–6.15, CRMarF = 5.00 chicks/female, 95% CI = 4.25–5.88) and 1.35 chicks/male (CRJanM
= 1.22, 95% CI = 0.87–1.72, CRMarM = 1.46, 95% CI = 1.08–1.99). Overall, demographics
were comparable to growing populations.",oral,Conservation and Ecology of Birds 1
12,The Influence of Landcover and Weather on Northern Bobwhite Population Growth in Texas,"Northern bobwhites (Colinus virginianus) inhabit semi-arid rangelands and open
woodlands in the United States, and their populations have been experiencing distribution-wide
declines for the past century. Habitat loss and fragmentation have been hypothesized as
potential factors driving the population decline at large spatial scales; however, long-term
changes in weather (i.e. rain, temperature, and soil moisture) traditionally have not been
considered as contributing factors. The objective of our study was to evaluate the hypothesis
that habitat loss and long-term weather trends influence bobwhite population growth in northern
and southern Texas. We used 2019 National Land Cover Data as well as historical (1978–1992)
and projected (1992–2022) land cover data from the United States Geological Survey to assess
bobwhite habitat connectivity and configuration. We also used data from the National Centers
for Environmental Information to quantify weather within each region using Palmer Modified
Drought Index values. Here we report on the influence of habitat amount (%) and weather
(PMDI) on bobwhite population growth and discuss the relative importance of each. Our findings
will 1) provide a better understanding of the degree to which fragmentation and weather
influence bobwhites in Texas, and 2) help guide species conservation at regional scales.",oral,Conservation and Ecology of Birds 1
13,Reproductive status limits thermoregulatory behavior in white-tailed deer,"Altering space use and diel activity patterns are animal behaviors that balance
energetic needs and thermoregulation. However, reproduction increases energetic requirements
and limits thermoregulatory efficiency. We assessed how environmental temperature influenced
when and where white-tailed deer (Odocoileus virginianus; hereafter “deer”) foraged and
accessed water depending on reproductive status. We monitored activity patterns associated
with foraging and drinking at shaded/unshaded feed stations of six pregnant and 11 non-
pregnant captive deer using camera traps May through August 2022 in Kingsville, Texas, USA.
We measured black body environmental temperature and identified periods of extreme heat
(daily mean > average high).  We recorded 5,785 foraging and 7,117 drinking events and
analyzed the coefficient of activity overlap ( d̂; range: 0 [no overlap] to 1 [complete overlap])
between pregnant and non-pregnant deer at different environmental temperatures and
locations. Drinking activity overlap of pregnant and non-pregnant deer was similar during
periods of lower temperatures (daily mean <35°C; d̂=0.93, CI:0.90-0.94) and higher
temperatures (daily mean >35°C; d̂=0.90, CI:0.87-0.93). However, foraging activity overlap of
pregnant and non-pregnant deer at lower temperatures was 13% greater ( d̂=0.90, CI:0.87-0.92)
than at higher temperatures ( d̂=0.77; CI:0.72-0.82). Moreover, diel activity overlap between
pregnant and non-pregnant deer at shaded feeders was 7% greater at lower temperatures
(d̂=0.92, CI: 0.90-0.95) than higher temperatures ( d̂=0.85, CI: 0.78-0.91), whereas activity
overlap at unshaded feeders was 15% greater at lower temperatures ( d̂=0.91, CI:0.89-0.94)
than higher temperatures ( d̂=0.76, CI:0.68-0.82). Collectively, our results demonstrate
pregnancy has strong effects on diel activity patterns, and those effects are most pronounced at
high temperatures.",oral,Conservation and Ecology of Mammals 1
14,Drivers and Consequences of Mule Deer Site Fidelity in a Highly Dynamic Landscape,"Site fidelity is observed across taxa and predicted to improve familiarity with the
environment and individual or population performance. Human disturbance, however, may alter
the benefit of this previously adaptive behavior. We examined site fidelity of 125 GPS-collared
mule deer (Odocoileus hemionus) across four populations in the Texas Panhandle from 2015 –",oral,Conservation and Ecology of Mammals 1
15,Thermal drivers and consequences of foraging behavior in white-tailed deer,"Foraging behavior is a key determinant of nutritional condition, which governs
individual and population-level performance. Foraging behavior is influenced by numerous
factors; however, little is known about the effect of thermal conditions on foraging behavior or
the physiological consequences of foraging decisions in environments which experience
extreme heat. We investigated how foraging behavior is influenced by environmental
temperature and life history characteristics, and how internal temperature is influenced by
foraging behavior and environmental temperature. We monitored black-body environmental
temperature and internal temperature with temperature-logging vaginal implant transmitters
while conducting a cafeteria-style diet study using captive white-tailed deer (Odocoileus
virginianus; hereafter: “deer”). From April through September 2022, we monitored intake and
diet selection of 35 individuals offered two diets with varying levels of protein and energy. We
used generalized linear mixed models to test the effect of reproductive status, age, sex, and
environmental temperature on daily intake levels and diet selection. We used linear mixed
effects models to evaluate the effect of daily intake, diet selection, and environmental
temperature on internal temperature. Deer selected diets with high energy and low protein
during gestation and post-parturition, antler growth, and juvenile body growth. Additionally, we
observed as environmental temperatures increased, deer reduced overall intake, reduced
protein intake, and increased energy intake. Lastly, we found internal temperature increased as
protein intake increased, revealing a physiological cost to consuming a high-protein diet. Our
results suggest foraging behavior can be strongly influenced by environmental conditions and
induces important physiologic responses in environments prone to extreme heat.",oral,Conservation and Ecology of Mammals 1
16,Behavioral state-specific resource selection of pronghorn in the Texas Panhandle,"Pronghorn (Antilocapra americana) are a grassland specialist species that have
experienced population declines and range contractions in portions of their distribution as a
result of anthropogenic development and loss of native vegetation communities. Understanding
how pronghorn select resources while in different behavioral states can reveal habitat
requirements for important but infrequent behaviors. We used hidden Markov modeling to
estimate behavioral states—encamped, foraging, and transiting—underlying movement of 72
pronghorn (36 males, 36 females) collared from 2017 – 2019 in the Texas Panhandle. We then
conducted step selection analyses to evaluate behavioral state-specific resource selection for
slope, distance to road, and distance to three landcover types—herbaceous vegetation, woody
vegetation, and cropland. Resource selection differed by behavioral state. Pronghorn spent the
most time foraging (65%), and selected areas with shallower slopes farther from roads and
woody vegetation. Foraging pronghorn exhibited seasonal variation in selection for herbaceous
vegetation, specifically selecting areas closer to herbaceous vegetation during the growing
season and farther from herbaceous vegetation during the dormant season. Pronghorn spent
the least amount of time encamped (10%), and resource selection generally aligned with
selection patterns when foraging. However, when transiting (25%), pronghorn selected areas
closer to roads and exhibited seasonal variation in selection for herbaceous vegetation. Our
findings provide insight into how rangeland composition and configuration influence resource
selection differentially when accounting for pronghorn behavior. Moreover, we highlight that
integrating behavioral modes into resource selection can identify critical habitat associations
that may be less prevalent but biologically important.",oral,Conservation and Ecology of Mammals 1
17,Behavioral State Specific Habitat Selection of Elk in the Trans-Pecos,"Little is known about elk (Cervus canadensis) populations in the Trans-Pecos region
of Texas. Population estimates suggests there could be approximately 3,500 free-ranging
individuals. However, there is minimal information on the dynamics of these populations. These
knowledge gaps have come into sharp focus with increased concern for chronic wasting
disease (CWD) in the Trans-Pecos. Thus, it is essential to understand the epidemiology of CWD
such as space use and drivers of movement in CWD susceptible species such as elk. Pilot data
collected from the first three GPS-collared elk in the Trans-Pecos (captured March 2023)
showed itinerant movement patterns. This instable space use has substantial implications for
disease spread. To further investigate this issue, we used Hidden Markov models (HMMs) to
segment the movement path into encamped and roaming states, then evaluated environmental
drivers of movement in each state using integrated step-selection functions (iSSFs). We found
clear signatures of encamped and roaming behaviors in elk movement patterns, with increased
probability of encampment near stream beds with green vegetation. Our iSSF analysis revealed
that elk movement routes were influenced by topography and shrub cover. Our top model found
that elk in the roaming state selected for landscape concavity (TPI; β = -0.754, SE = 0.0576),
avoided rugged terrain (β = -0.495, SE = 0.4572) and a quadratic term suggested preferred
elevation between 1200m to 1700m.This study provides a method for elk movement pattern
predictions and a basis for future studies to provide insight to CWD transmission pathways in
this understudied population.",oral,Conservation and Ecology of Mammals 1
18,White-tailed Deer Spatial Response to Temporary Bait During Camera Surveys,"Researchers commonly estimate white-tailed deer (Odocoileus virginianus)
abundance using bait to attract deer to camera stations. Our objective was to quantify whether
bait (i.e., whole kernel corn) presence and removal impacted home ranges (i.e., size and
overlap) and movement of deer during camera surveys. We conducted our research at Joint
Base San Antonio-Camp Bullis in central Texas from 2012 to 2013. We captured and fitted 64
deer (32 male, 32 female) with GPS collars, which collected 1 GPS location every 15 minutes
from 22 July to 2 September 2012¬–2013. Baited camera surveys were conducted from 5 to 18
of August annually. We evaluated the effect of bait on diurnal and nocturnal daily range size and
overlap of deer using spatial temporal analysis of moving polygons (STAMP). During the bait
period at night, male daily range size (149 ha) was 12% larger than pre-bait (133 ha). During the
bait period, male daily diurnal range overlap (0.15) was 26% lower compared to pre-bait period
(0.20). For females, daily nocturnal range size increased by 21% and overlap decreased by
13% from the pre-bait to bait. Daily distance moved (m) was similar (<6% difference) between
the bait and pre-bait period for both sexes. The presence and removal of bait had minimal
influence on deer space use. Our results suggest that using bait during camera surveys will
have minimal impact on deer daily range characteristics and movement.",oral,Conservation and Ecology of Mammals 1
19,Ranking and Prioritizing Species for Conservation and Research,"The Nongame & Rare Species program (NRSP) at Texas Parks & Wildlife conducts
research and management on a wide diversity of species. With over 70,000 nongame species in
the state, selecting the right species and research questions to focus on is crucial for making
meaningful conservation progress with limited resources. Over the past several years, the
NRSP has worked to develop new, objective criteria for determining which species are listed as
Species of Greatest Conservation Need and which qualify as State Threatened. The program
has also developed a novel strategy for identifying key knowledge gaps that need to be filled for
conservation measures to begin and developed a strategy for determining most crucial
conservation actions needed to recover imperiled species. In this presentation, we will explore
the inner workings of how TPWD rare species biologists are changing how they approach the
complex task of species conservation and recovery.",oral,Non-Game and Rare Species Conservation from TPWD
20,Collaborative programs that connect landowners and agencies to do conservation for federally listed and candidate species on private lands,"When the Endangered Species Act was passed by the U.S. Congress 50 years ago,
some viewed the act primarily as a regulatory mechanism, and thus, perceived that interaction
with agencies was best to be avoided. In response to this concern, the U.S. Fish and Wildlife
Service created several programs that encourage and reward voluntary collaboration and
conservation on private lands. Specifically, maintaining or creating populations or habitat for
species that are listed as endangered or threatened, or are a candidate for listing, can come
with assurances for a landowner. Assurances can include authorizing some level of incidental
take and a commitment to ‘no surprises’ for the landowner should changes to the status or
regulations occur for a covered species. The Texas Parks and Wildlife Department has also
developed several programmatic agreements that streamline the process for landowners who
want to engage in voluntary conservation for federally listed and candidate species on their
lands. This presentation will explore current programs that facilitate voluntary conservation
actions for listed or candidate species, such as Habitat Conservation Plans, Safe Harbor
Agreements, and Candidate Conservation Agreements with Assurances. We will cover the
features and best applications for each program, as well as provide several examples of current
and ongoing initiatives. The goal of this presentation is to provide landowners, and those who
work with landowners, with a stronger understanding of the tools available for the conservation
of listed and candidate species on their working lands while also facilitating the continuation of
normal operations such as farming, ranching, and recreation.",oral,Non-Game and Rare Species Conservation from TPWD
21,Non-game Mammal Conservation in Texas,"Texas Parks and Wildlife Department (TPWD) is charged with ensuring “the
continued ability of nongame species of fish and wildlife to perpetuate themselves successfully”.
As such, the TPWD Mammal Conservation Program focuses on the conservation, research, and
management of the non-game mammals and furbearers in Texas. The program covers a wide
variety of mammal species, with most attention on those that are federal or state threatened and
endangered as well as species of greatest conservation need (SGCN), such as Texas kangaroo
rats (Dipodomys elator), black-tailed prairie dogs (Cynomys ludovicianus), Davis mountains
cottontails (Sylvilagus robustus), plains spotted skunks (Spilogale interrupta), swift foxes
(Vulpes velox), ocelots (Leopardus pardalis), black bears (Ursus americanus), and mountain
lions (Puma concolor). Bats were recently split into their own program due to their unique needs
and threats. In this presentation, we will discuss the current efforts underway for the mammals
in the program as well as the knowledge gaps and needs that have been identified for priority
species. Thus, the ways in which the program works to meet the ultimate goal of supporting
sustainable populations of non-game mammals in the state will be examined.",oral,Non-Game and Rare Species Conservation from TPWD
22,Use of Electric Fencing to Deter Bears from Attractants in an Arid Landscape,"Black bears were extirpated from the Trans-Pecos region of Texas by the 1950s but
began recolonizing the region from northern Mexico in the 1980s.  This recolonization has led to
increasing incidents of human-bear conflict.  The prevalence of deer feeders on the Texas
landscape creates a unique challenge because of the increased opportunity for human-bear
conflict.  Two types of deer feeders are common in Texas, free choice deer pellet feeders and
spin-cast feeders.  Since 2018, Texas Parks and Wildlife staff have been testing the use of
electricity to deter bears from feeders.  Systems that utilized an earthen ground return for the
negative circuit were ineffective in the arid environment despite attempts to improve the
grounding system.  Using livestock panels to create a metal apron laid in front of an electric
fence or underneath an electrified spin-cast feeder for the negative circuit have proven effective.
A 7-wire all hot fence (~34 inches tall) with a metal grounding apron successfully deterred bears
using energizers rated at 0.15-0.25 output joules.  Likewise, electrified spin-cast feeders with a
metal grounding apron successfully prevented feeder damage using energizers rated at 0.08-
0.20 output joules.  A third design entailed adding a single hot wire positioned 2-3 inches above
and 2-3 inches inside of an existing hog panel or netwire fence.  Using 0.15-0.25 output joule
energizers, this design successfully deterred as well.   We discuss the efficacy of these designs
in securing various black bear attractants in the Trans-Pecos region and other arid landscapes.",oral,Non-Game and Rare Species Conservation from TPWD
23,Historical Changes in The Distribution of Montezuma Quail In Texas (1850-1950),"Understanding the history of a species’ geographical range is fundamental to
establishing context for its present condition and developing realistic approaches to its
management and conservation. Unfortunately, there is very little documented information in the
published literature about the historical Texas distribution of Montezuma Quail (Cyrtonyx
montezumae) a Species of Greatest Conservation Need. Generally, published depictions of
Montezuma Quail distributions are without documentation. I addressed this problem by
assembling a database of dated and geo-referenced voucher specimens (n = 54) and
occurrence records (n = 136) of Montezuma Quail to assess spatial and temporal patterns of
Texas distributions through historical time (1850-1950). Historical records revealed that in 1850
Montezuma Quail occupied a large and diverse landscape encompassing 125,745 km2 across
8 distinct macro-scale terrain-vegetation frameworks. The Texas distribution consisted of 2
units—a mostly contiguous central Texas unit centered on the Edwards Plateau and a highly
fragmented Trans-Pecos unit associated with plateaus, cuestas, and rugged desert mountain
ranges with ≥1,400 m elevation. The 1850 central Texas and Trans-Pecos distributions covered
an estimated 109,320 km2 and 16,425 km2, respectively. Beginning in the 1880s, the central
Texas distribution underwent a rapid and dramatic contraction that reduced its former expansive
range to 2,399 km2. By the 1930s, Montezuma Quail were reduced to relict populations in parts
of several counties along the western end of the southern Balcones Escarpment. In contrast,
the Trans-Pecos distribution of Montezuma Quail remained essentially unchanged over the
historical period, being extirpated from the Franklin Mountains and possibly some marginal, low
elevation areas. The records-based data presented in this paper provide firm evidence of the
former robustness and subsequent plight of Montezuma Quail in Texas. I propose that
Montezuma Quail need greater conservation effort and give broad recommendations for its
future management.",oral,Non-Game and Rare Species Conservation from TPWD
