talk_id,title,abstract,type,session,year,...1
11,Burrowing Owl Prey Delivery,"Determining the diet of species that nest underground, such as the Burrowing Owl (Athene cunicularia) is challenging. Prey information for Burrowing Owls is often limited to examining prey remains at nest sites and in owl pellets, collecting images from above-ground trail cameras, or directly observing prey acquisition and delivery. We equipped an artificial nest box and burrows at Rio Bosque Wetlands Park in El Paso, Texas with digital video recorders (DVRs) and three underground infrared cameras to document nesting behaviors and prey use. Herein we document the types and frequencies of prey items delivered inside the nest box during the 2019 nesting season as reflected in videos and images collected continuously from 1 April - 5 July. We reviewed 23,039 video files and documented 580 prey deliveries. We identified 463 (80%) prey items to class and 237 (41%) to family. Invertebrates made up 75% and vertebrates 25% of the identifiable prey items by frequency. A majority (55%) of the invertebrates were insects, especially in the orders Orthoptera and Blattodea, with scorpions (Scorpiones spp.) the second most common group (2% of all items). Vertebrate prey were delivered less commonly and mostly consisted of rodents (14% of all prey items), especially heteromyids, followed by squamate reptiles (6%). Results from this project will aid in conservation and management of this species.",oral,A1: Avian Ecology and Management,2022,NA
12,Burrowing Owl Nest Site Selection,"The burrowing Owl (Athene cunicularia) is a small owl found in open landscapes throughout North and South America. They nest and roost in burrows, usually excavated by other species. Prairie dogs are the primary creator of burrows in much of their range, and burrowing owl numbers are often linked to prairie dog numbers. In areas with few natural burrows, they will use artificial nests sites such as drain pipes. Since 2013, artificial nest sites (n = 249) have been provided at Rio Bosque Wetland Park, El Paso, TX; material used in the nest sites have varied through time. Artificial nest sites were found to be used more than natural sites (P=0.005); burrow material (P<0.001) and entrance size (P=0.016) also affected use. Mean number of eggs was affected by burrow material (P=0.024) and shade presence (P=0.038). Mean number of owlets and fledglings were not affected by any design choice. Session B1",oral,A1: Avian Ecology and Management,2022,NA
13,Chronic Limitation of Dietary Energy Cues Trade-off Between Optimum Growth and Reproduction in White-tailed Deer,"Morphology varies regionally within species and may induce trade-offs between ontogeny and reproduction. The specific limitation for variable body sizes and signaling trade-offs is assumed to be nutritional quality of the diet but the specific dietary component is unknown. We test how dietary energy affects development and reproduction in white-tailed deer (Odocoileus virginianus). We raised 3 cohorts (n=309) in captivity for 5 years. Individuals were split into a low digestible energy diet (1.77 kcal/g; LE) and a standard digestible energy diet (2.65 kcal/g; SE), both offered ad libitum. We recorded feed consumption per cohort and measured weight, body condition, skeletal size, and antler size annually for each individual until 5 years of age. We also measured reproductive output of females in each treatment. Adults exhibited lower mass and body condition throughout all ages on the LE diet compared to the SE diet. Male antler size and mass was lower across all ages within the LE diet. LE feed consumption was greater across all cohorts and sexes compared to the SE diet. Litter size and fawn birth mass did not differ between treatments. Deer adjusted body condition, body size, and weaponry growth to reduce energy requirements but maintained the same level of reproductive output. Our results provide experimental confirmation for hypotheses regarding life-history trade-offs between growth and reproduction. Digestible energy concentration in the diet should be investigated as a factor explaining regional differences in morphology, especially in systems where individuals cannot maintain population performance under nutrient limitation.",oral,B1: Big Game Ecology,2022,NA
14,Factors Influencing Scaling Relationships of Body and Antler Mass in White-tailed Deer,"Antlers are a costly trait that require skeletal reserves to grow to a large size. Thus, insight into variation in antler size requires understanding the connection between antler and body size. Maternal condition during gestation influences body size and is speculated to influence antler size. Maternal effects might decline with age as individuals might make up for size deficits through compensatory growth. We sought insight into the influence that maternal attributes and diet had on body-antler size relationships throughout ontogeny and at discrete ages. We also examined whether maternal effects were most apparent in younger-aged individuals. We had access to data on maternal characteristics, body mass, and antler mass from captive white-tailed deer (Odocoileus virginianus) that were assigned to either a low energy (1.77 kcal/gm) or standard energy diet (2.67 kcal/gm) from the time they were weaned. We tested if maternal effects from dam age at birth and litter type effected body-antler size relationships. Litter type influenced both intercept (P < 0.001) and slope (P < 0.001) in deer that were 1.5 years old. Our findings show that antler size exhibits a larger percentage increase than body size in deer aged 1.5, 2.5, 3.5, and 4.5 years, both for deer fed a standard energy and low energy diet. Litter type was influential for younger-aged males, thus lending support to the idea that maternal effects diminish with age and that males can likely make up for some of the nutritional deficits early in life through compensatory growth.",oral,B1: Big Game Ecology,2022,NA
15,Quality or Quantity? Ambient Temperature Influences Selection for Shade Quality in A Large Herbivore,"Heat stress is common in endotherms, and behavioral changes to mitigate heat stress are energetically cheaper than physiological responses. Seeking shade can decrease radiant heat gain by 30%. However, all shade is not equal. We designed a manipulative experiment assessing shade quality’s influence on white-tailed deer (Odocoileus virginianus) space use. Our objectives were: 1) quantify deer shade preference and 2) define temperature thresholds at which shade quality was important. We offered captive deer varying qualities of shade in South Texas during summers 2020 and 2021. Two deer were placed in a 7.6-m2, open-air research pen with 4 treatment areas: 1) 0% shade, 2) 30% shade, 3) 60% shade, and 4) 90% shade created with commercial shade cloth. Trials consisted of a 3-day acclimation period followed by 3 days of data collection during 14 trials. We recorded ambient temperature and quantified deer space use during solar noon ± 1 hr with time-lapse cameras. Average ambient temperature during trials was 35.5℃. Generalized linear mixed models indicated preference for greater shade quality as ambient temperature increased. However, predicted deer use was similar for all shade qualities until ambient temperature reached 29℃ at which point 90% shade was preferred. Proportional use of shade treatments: 1) 0% shade, 2) 30% shade, 3) 60% shade, and 4) 90% shade was 7%, 6%, 17%, and 70%, respectively. Understanding animal needs is crucial to manage for beneficial resources. Our results indicate shade quality is important to deer. Thus, land managers should consider thermal cover when designing management plans.",oral,B1: Big Game Ecology,2022,NA
16,Using Mule Deer Movement to Inform Management in A Novel Chronic Wasting Disease Cluster,"In 2021, the distribution of Chronic Wasting Disease (CWD) dramatically increased in Texas highlighting a need for a deeper understanding of factors that influence the disease spread. Juvenile dispersal is considered an important parameter in CWD epidemiology, but juvenile movement and drivers of dispersal are poorly understood. The Canadian River corridor is adjacent to a recently identified CWD cluster and may facilitate movement connecting regions of New Mexico with unknown CWD prevalence with the Texas Panhandle. We GPS-collared 30 nine-month-old mule deer, located within a newly established CWD containment zone, to study movement and dispersal patterns. To identify movements that may have enhanced disease risk, we first calculated net squared displacement across individuals to assign resident or non-resident status. We then used velocity, duration, distance, and fidelity, to categorize non-residential movements as either exploratory or dispersal. Currently, 23% of our individuals have exhibited non-residential movement including two dispersals and five exploratory movements. Mean dispersal and exploratory movement lengths were 33.64 ± 26.25 km (x̄ ± SE) and 83.88 ± 40.80 km, respectively. Resident velocity averaged 80.47 ± 0.49 m/hr compared to non-residential individuals at 88.31 ± 1.84 m/hr overall but 118.23 ± 43.10 m/hr during non-residential movements. These results demonstrate potential for large-scale movements by juvenile deer facilitating disease spread throughout the region. With CWD becoming an increasing issue across Texas, evident by recently updated management strategies, understanding movement ecology of susceptible species should be of primary concern.",oral,B1: Big Game Ecology,2022,NA
17,Sociospatial Organization of Nilgai Antelope in South Texas,"Nilgai antelope (Boselaphus tragocamelus) are an exotic ungulate species with over 30,000 free-ranging individuals in South Texas. Although nilgai have been present in Texas for almost a century, there is little information on the movements, behaviors, and social interactions of nilgai. Recently, there has been increased interest in nilgai ecology due to their role as a competent host for cattle fever ticks (Rhipicephalus (Boophilus) microplus and R. (B.) annulatus), which can negatively affect the livestock industry. The social interactions of nilgai can aid in the understanding of population dynamics, space use, and disease transmission. The goals of this study were to: 1) estimate home and core range sizes of nilgai and 2) investigate the spatiotemporal overlap among nilgai dyads. We used hourly locations of 40 GPS-collared nilgai to help understand the interaction of individuals with overlapping ranges. Overall, nilgai had large and highly variable annual home ranges (female range = 105- 1,545 ha; male range = 221-1,602 ha). The annual median core range estimate for females was 108 ha (22-225) and for males 205 ha (46-219). We analyzed dynamic interactions of 64 nilgai dyads that had ≥ 10% overlap of core ranges. We observed dyads interacting closely for several days to weeks, followed by a multi-day or week separation, then interactions resumed. Large home ranges by nilgai challenge the sustainability of CFT eradication efforts in the U.S. Therefore, understanding how individuals interact with one another within their home ranges can provide insight for disease management strategies.",oral,B1: Big Game Ecology,2022,NA
18,Habitat Selection and Movement Behavior of Mule Deer Using an Integrated Step Selection Analysis in Black Gap Wildlife Management Area,"Mule deer (Odocoileus hemionus) populations have declined due to habitat loss or fragmentation. Little is known about the habitat needs of mule deer in the extreme arid environments of their range. This project aims to look at how habitat selection changes for mule deer in more extreme environments. Understanding this will allow managers to adapt practices to these extreme environments. Texas Parks and Wildlife Department translocated fourteen female mule deer ranging from 1.5 to 8.5 years of age, from Elephant Mountain Wildlife Management Area to Black Gap Wildlife Management Area (BGWMA) as a population reduction effort. The translocated mule deer were fitted with GPS collars programmed to collect a location every three hours. We used an Integrated Step Selection Analysis (iSSA) to examine the effects of habitat conditions on both movement and habitat selection, including slope, aspect, ruggedness, and elevation. Mule deer selected for habitat that was higher in elevation and selected against rugged terrain. Movement rates were lower in rugged terrain. These results suggest that mule deer may prefer higher elevation to avoid extreme heat. Also, mule deer may avoid rugged terrain because it is harder to search for food and more difficult to avoid predators in these areas. Session C1",oral,B1: Big Game Ecology,2022,NA
19,Transformational Wildlife Funding-Recovering America's Wildlife Act,"Transformational wildlife funding was last seen in 1937 with the Wildlife Restoration Act (Pittman- Robertson Act). The Recovering America's Wildlife Act (HR 2773; S 2372) now before Congress would bring more than $50 million to Texas annually. Passage of this bill would provide permanent, dedicated funding to restore sensitive fish and wildlife populations, create and enhance educational programs, and improve nature- based outdoor recreation. The bill is supported by a national alliance of conservation and business groups. This presentation will include details of the funding, the organizations and networks that support and don’t support the bill, and how TCTWS, your organization, and biologists can support this national and state-wide initiative, regardless of your employer. Even in “today’s politically charged” environment, this effort is getting bipartisan support in Congress. Whatever your interests, be a part of the solution and this historic legislation.",oral,C1: Humans and Wildlife,2022,NA
20,Investigating How Relational Values Influence Landowner Participation in An Endangered Species Conservation Program,"Research investigating the interface of landowners and endangered species conservation (ESC) identifies environmental stewardship as a cornerstone principle encouraging sustainable human-nature relationships. Stewardship-oriented relationships are complex, however, as they are associated with diverse relational values reflecting a landowner’s subjective evaluation of the meanings attached to human-nature relationships. Relational values convey meaning through landowner preferences, principles, and virtues about human-nature relationships and are supported or undermined by policymaking. Thus, relational values must be accounted for by policymakers as institutional ESC strategies, like Voluntary incentive programs (VIPs) espouse values that interfere with or encourage landowner relationships. Value alignment between ESC policy- mechanisms and relational values are key to enhancing the success of VIPs but research indicates that VIPs often fail to align with landowner values and, thus, fall short in securing adequate levels of ESC. We conducted 24 interviews with Texas landowners to analyze VIP alignment with landowner values. Results revealed that landowners’ human-nature relationships were characterized by relational values such as active management, stewardship, and self-determination. VIPs aligned with preferences for stewardship and management but directly conflicted with landowner self-determination. The rules and requirements of VIPs opposed values of autonomy and social responsibility and failed to provide incentives to overcome such value conflicts. Thus, the VIP we investigated exemplifies the rift between hegemonically designed and implemented VIPs and the values motivating voluntary ESC. Bridging this gap requires coordinated efforts between researchers and policymakers to identify and incorporate landowner values into new incentive structures that enhance and enable diverse, non- instrumental values driving ESC.",oral,C1: Humans and Wildlife,2022,NA
21,The Long-standing Significance of Genetic Diversity in Conservation,"Since allozymes were first used to assess genetic diversity in the 1960s and 1970s, biologists have attempted to characterize gene pools and conserve the diversity observed in domestic crops, livestock, zoos and (more recently) natural populations. Recently, some authors have claimed that the importance of genetic diversity in conservation biology has been greatly overstated. Here, we argue that a voluminous literature indicates otherwise. We address four main points made by detractors of genetic diversity's role in conservation by using published literature to firmly establish that genetic diversity is intimately tied to evolutionary fitness, and that the associated demographic consequences are of paramount importance to many conservation efforts. We think that responsible management in the Anthropocene should, whenever possible, include the conservation of ecosystems, communities, populations, individuals, and their underlying genomic diversity.",oral,C1: Humans and Wildlife,2022,NA
22,Effects of The Covid-19 Lockdown on The Soundscape of The Wild Basin Wilderness Preserve,"The COVID-19 shutdown provided an opportunity for analysis of the natural world under unusual conditions. The Wild Basin Wilderness Preserve was closed to the public for 6 months during the 2020 shutdown. We hypothesized that reduced human activity during that time would result in a measurable reduction in anthropogenic noise levels and that this in turn may have a quantifiable effect on the soundscape used by many of the native species at Wild Basin. In order to test this hypothesis, we established five acoustic recording locations spread across the preserve and one video location near Texas Highway 360 while working as essential personnel during the 2020 lockdown. We used a handheld recorder and camera to collect acoustic and visual data. When the preserve was reopened to the public in 2021, the study was replicated, with all recordings matched to the 2020 dates and times. Our 11-week analysis in 2020 and 2021 indicated that Wild Basin was significantly quieter during the 2020 shutdown. In addition to being quieter, analysis indicated that the acoustic complexity index of 2020 was greater than 2021. This suggests that a greater variety of sounds could be heard at Wild Basin in the absence of anthropogenic noise (i.e traffic and construction noise). In summary, anthropogenic noise significantly alters the soundscape of the Wild Basin Wilderness Preserve. Protecting the soundscape of Wild Basin, and natural areas more generally, may be a critical element for sustaining our native species.",oral,C1: Humans and Wildlife,2022,NA
23,A Moderated Peer-to-peer Prescribed Fire Outreach Program for Texas Hill Country Landowners,"Traditional extension and outreach programs provide information from an expert to participants, but effectively educating today’s landowners and land managers may require new methods. This study investigated the Peers and Pros 360° teaching method through designing, conducting, and evaluating 3 workshops for landowners in the Edwards Plateau ecoregion about prescribed fire. Peers and Pros 360° is a moderated peer-to- peer teaching method where participants exchange ideas within a framework prepared by professionals. This framework consists of a designated topic, themes, and statements. Our program consisted of 8 themes, each with 3 associated statements that represented frequent comments heard by fire professionals, regardless of whether those comments are factual. During the program, participants were asked to react to these statements. Landowners with more prescribed fire experience often led the discussions, while those who were not as familiar with the topic could ask questions and learn from their peers. Following the discussion, professionals contributed additional information based on a list of predetermined talking points. Results of the study indicate 93% of participants preferred Peers and Pros 360° over traditional teaching methods, participants at all 3 workshops experienced an increase in knowledge, and 100% of participants enjoyed learning from their peers. These results and this program model will be useful to outreach and extension professionals in designing and conducting relevant programs that effectively encourage long-term, positive change.",oral,C1: Humans and Wildlife,2022,NA
24,Songbird Behavior and Conservation in the Anthropocene,"The presence and success of a diverse community of songbird species is frequently used as an indicator of ecosystem quality and health. Conversely, declines in species richness and population sizes often tell us when things are not well. But many of these trends are a result of adaptive or maladaptive behaviors that have evolved over many generations. In some cases, established behavioral response systems no longer facilitate success in altered environments, and may underly poor vital rates and management failures. Thus, a basic understanding of songbird behavior, including the rate at which behavioral changes can occur and the physical and physiological limits to plasticity, is a requirement for anyone interested in maintaining healthy songbird populations. But, our world is changing rapidly, and range-wide declines in many species suggest that behavioral compensation may occur too slowly to avoid negative population-level impacts. To maintain viable populations in many species, our conservation strategies must be broader and more intentional in regards to songbird behavior. For example, focusing on the vegetative quality of habitats may not be enough. We must also manage the sensory landscape to ensure that vital cue-response systems remain intact. Other anthropogenic factors are also altering how birds select mates and habitats, sometimes in ways that decrease fitness. The goal of this talk is to explore the role of behavior in conservation and management, and to introduce a recently published book that takes a deep dive into these topics. Session D1",oral,C1: Humans and Wildlife,2022,NA
25,On Understanding Anuran Communities: Sampling Acoustic Data for the Probability of Detection of Species Presence,"Frogs are cryptic animals that are sensitive to abiotic changes in their environment. The calling phenologies of frogs can be useful tools to determine the species’ detection probability. Frogs call for a variety of reasons, the most important being in attracting a mate and breeding. Occupancy models can be built by allowing for environmental factors to explain the presence or absence of a species during a survey at a specific site. Ten species of anurans have been monitored for seven years in Colorado County, Texas. My project focuses on the environmental factors that influence the calling phenology of the Cricket frog (Acris blanchardi), Green treefrog (Hyla cinerea), Striped chorus frog (Pseudacris fouquettei), Eastern narrowmouth toad (Gastrophryne carolinensis), Southern leopard frog (Lithobates sphenocephalus), Crawfish frog (Lithobates areolatus), Gulf coast toad (Incilius nebulifer), American bullfrog (Lithobates catesbeianus), Green frog (Lithobates clamitans), and Squirrel treefrog (Hyla squirella) in 2015. I used acoustic data recorded at eleven variable sites to determine the detection probability of each species. I collected weather conditions from the local weather station. There was 127.16 cm of accumulated precipitation during the year, and the air temperature ranged from -3.9 ºC to 39.4 ºC. I used the acoustic data of frogs calling at these sites coupled with these environmental covariates to build occupancy models. These models demonstrate what influences or prevents frogs calling, and when frogs are most likely to call during the year. The single-season occupancy models demonstrate when and where sampling effort will be most successful.",oral,D1: Amphibians and Reptiles I,2022,NA
